,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1122,random-10-2.50-0,CP-RANK-ADD,10,0,0,0,0,0.0,0.09,0,0,559,1118,-1
1123,random-20-2.60-0,CP-RANK-ADD,20,0,0,0,0,0.0,0.05,0,0,245,488,-1
1124,random-10-3.80-0,CP-RANK-ADD,10,617.5296,0.09,0.439462937062937,498.0323,497.9825,0.15,0,0,1883,3816,0.16093022622636627
1125,random-20-0.00-0,CP-RANK-ADD,20,0,0,0,0,0.0,0.06,0,0,907,1819,-1
1126,random-30-2.60-0,CP-RANK-ADD,30,0,0,0,0,0.0,0.06,0,0,169,331,-1
1127,random-10-5.00-0,CP-RANK-ADD,10,628.8846,0.09,0.9901411392405063,368.9834,368.9465,0.33,0,0,9644,19529,0.16771510244725746
1128,random-30-0.00-0,CP-RANK-ADD,30,0,0,0,0,0.0,0.09,0,0,168,329,-1
1129,random-40-4.60-0,CP-RANK-ADD,40,0,0,0,0,0.0,0.1,0,0,54,98,-1
1130,random-40-2.00-0,CP-RANK-ADD,40,0,0,0,0,0.0,0.12,0,0,45,80,-1
1131,random-50-4.60-0,CP-RANK-ADD,50,0,0,0,0,0.0,0.38,0,0,1210,2526,-1
1132,random-50-2.00-0,CP-RANK-ADD,50,0,0,0,0,0.0,0.23,0,0,261,526,-1
1133,random-60-6.60-0,CP-RANK-ADD,60,0,0,0,0,0.0,0.41,0,0,274,538,-1
1134,random-60-4.00-0,CP-RANK-ADD,60,0,0,0,0,0.0,3.42,0,0,8742,18105,-1
1135,random-20-5.00-0,CP-RANK-ADD,20,1060.596,0.05,0.7976203389830508,649.0636,648.9987,63.79,0,0,950796,1993098,0.10061509958097921
1136,random-200-8.00-0,CP-RANK-ADD,200,0,0,0,0,0.0,134.65,0,0,13473,29810,-1
1137,random-70-4.00-0,CP-RANK-ADD,70,0,0,0,0,0.0,1.42,0,0,2245,4745,-1
